ID,time_stamp,hashrate,Temp,powerplan,fanspeed,fanspeed_limit,hw_error_ratio
13909,2024-12-12 11:58:52,"695,5310000000002",81.4,0.0,1860.0,1860.0,0
13910,2024-12-12 12:00:54,"692,8769999999998",77.6,0.0,1500.0,1500.0,0
13911,2024-12-12 12:02:53,"693,0010000000001",80.8,0.0,1500.0,1560.0,0
13912,2024-12-12 12:05:24,"674,971",78.7,0.0,1500.0,1500.0,0
13913,2024-12-12 12:07:03,"717,2230000000001",80.8,0.0,1560.0,1560.0,0
13914,2024-12-12 12:09:20,"707,074",78.6,0.0,1620.0,1620.0,0
13915,2024-12-12 12:09:34,"723,005",78.8,0.0,1500.0,1500.0,0
13916,2024-12-12 12:16:16,"699,072",80.1,0.0,1980.0,1980.0,0
13917,2024-12-12 12:22:56,"691,3860000000001",79.7,0.0,1560.0,1560.0,0
13918,2024-12-12 12:29:38,"713,0410000000002",79.9,0.0,1860.0,1860.0,0
13919,2024-12-12 12:36:19,"747,48",80.3,0.0,1500.0,1500.0,0
13920,2024-12-12 12:43:00,"709,097",78.9,0.0,1860.0,1860.0,0
13921,2024-12-12 12:49:41,"713,3789999999999",81.2,0.0,1800.0,1860.0,0
13922,2024-12-12 12:56:22,"695,807",78.5,0.0,1500.0,1620.0,0
13923,2024-12-12 13:03:03,"682,3560000000001",81.1,0.0,1860.0,1920.0,0
13924,2024-12-12 13:09:44,"693,793",79.1,0.0,1440.0,1440.0,0
13925,2024-12-12 13:16:25,"705,2919999999999",80.1,0.0,1920.0,1980.0,0
13926,2024-12-12 13:23:06,"727,057",80.1,0.0,1500.0,1500.0,0
13927,2024-12-12 13:29:48,"703,99",78.8,0.0,1800.0,1860.0,0
13928,2024-12-12 13:36:29,"709,24",81.0,0.0,1500.0,1560.0,0
13929,2024-12-12 13:43:10,"720,529",78.3,0.0,1500.0,1500.0,0
13930,2024-12-12 13:49:51,"715,1799999999998",80.9,0.0,1980.0,2040.0,0
13931,2024-12-12 13:56:32,"668,6230000000002",78.9,0.0,1500.0,1500.0,0
13932,2024-12-12 14:04:51,"666,255",78.6,0.0,1500.0,1500.0,0
13933,2024-12-12 14:07:36,"717,085",79.6,0.0,1860.0,1920.0,0
